epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,311.475,0.18355,1,1,0.00077,0.00051677,0.00051677,0.00051677
2,615.885,0.00775,1,1,0.00084,0.000530356,0.000530356,0.000530356
